AAPL,ACN,AI.PA,AMZN,ASML,BRK-B,CDI.PA,CSU.TO,EQNR,GOOG,LLY,MC.PA,META,MSFT,NVDA,NVO,OR.PA,RMS.PA,SALM.OL,SAP,SNY,TSLA,TTE,V,WKL.AS
40.776527404785156,141.47296142578125,76.19338989257812,59.45050048828125,167.48779296875,197.22000122070312,257.6645202636719,746.6312255859375,16.322912216186523,53.25,76.34744262695312,219.01170349121094,181.4199981689453,80.39183807373047,49.31712341308594,22.0250186920166,161.68812561035156,421.9358215332031,187.17730712890625,101.21028900146484,34.10331726074219,21.368667602539062,38.97217559814453,110.17231750488281,39.04966354370117
40.76942825317383,142.12588500976562,76.77670288085938,60.209999084472656,168.75997924804688,199.7899932861328,258.78173828125,741.7679443359375,16.62710952758789,54.124000549316406,76.7621841430664,220.32778930664062,184.6699981689453,80.7659683227539,52.56288146972656,22.236486434936523,162.3095245361328,423.8493957519531,182.513427734375,102.03877258300781,34.008853912353516,21.149999618530273,39.36977005004883,111.26912689208984,39.26530456542969
40.95879364013672,143.80877685546875,78.52658081054688,60.47949981689453,170.33375549316406,200.69000244140625,261.3601379394531,729.8308715820312,16.82744026184082,54.31999969482422,77.10478210449219,222.91455078125,184.3300018310547,81.4768295288086,52.83993911743164,22.159215927124023,163.77413940429688,424.6147155761719,186.2445526123047,103.6056900024414,34.5599250793457,20.974666595458984,40.04639434814453,111.682861328125,39.597747802734375
41.42512130737305,144.9951171875,79.18280792236328,61.457000732421875,172.33160400390625,201.4199981689453,264.1103820800781,719.1806640625,16.797765731811523,55.11149978637695,78.05146789550781,226.45428466796875,186.85000610351562,82.48696899414062,53.287723541259766,22.260883331298828,165.90455627441406,428.1548156738281,190.4420166015625,104.75836944580078,35.166099548339844,21.10533332824707,40.29751205444336,114.35752868652344,40.02904510498047
41.27125930786133,146.15379333496094,80.0577392578125,62.34349822998047,173.23629760742188,202.74000549316406,260.5006408691406,718.4927978515625,16.886796951293945,55.34700012207031,77.65476989746094,222.82374572753906,188.27999877929688,82.57118225097656,54.920501708984375,22.24054718017578,165.77139282226562,428.5375061035156,183.7571258544922,103.38056945800781,35.11099624633789,22.42733383178711,40.30448913574219,114.8193588256836,39.98412322998047
41.26652908325195,146.6411895751953,80.13066101074219,62.6349983215332,172.30331420898438,203.02000427246094,261.2742004394531,718.7875366210938,16.871957778930664,55.3129997253418,77.59162902832031,223.36837768554688,187.8699951171875,82.51505279541016,54.90565872192383,22.30968475341797,167.14727783203125,429.4942932128906,185.1562957763672,102.8042221069336,34.90631103515625,22.246000289916992,40.24867630004883,114.59806060791016,40.16381072998047
41.257057189941406,146.12619018554688,79.14634704589844,62.71649932861328,170.2960662841797,205.61000061035156,259.1255798339844,714.4352416992188,16.96099090576172,55.13050079345703,77.62769317626953,219.6470489501953,187.83999633789062,82.14093780517578,55.33611297607422,22.281219482421875,165.90455627441406,430.259765625,182.9798126220703,101.64253997802734,34.41822052001953,22.31999969482422,40.1370849609375,114.47299194335938,39.4989128112793
41.49140930175781,146.31930541992188,78.08911895751953,63.83399963378906,168.26055908203125,206.69000244140625,256.20343017578125,714.2092895507812,17.213253021240234,55.2760009765625,77.88915252685547,216.9241943359375,187.77000427246094,82.38410949707031,55.4350700378418,22.350351333618164,163.90728759765625,426.3369445800781,182.20249938964844,98.73383331298828,34.646522521972656,22.530000686645508,40.374244689941406,115.30042266845703,38.80705642700195
41.91987228393555,147.23890686035156,78.5995101928711,65.26000213623047,170.44683837890625,210.16000366210938,256.4612121582031,720.330078125,17.4506778717041,56.112998962402344,78.42111206054688,219.783203125,179.3699951171875,83.80582427978516,55.162940979003906,22.382883071899414,163.3746795654297,426.6240234375,176.6058349609375,99.17508697509766,35.25270080566406,22.4146671295166,41.38568878173828,115.54094696044922,38.40272521972656
,,78.8182373046875,,,,257.4066467285156,724.0930786132812,,,,220.32778930664062,,,,,163.72976684570312,426.9111022949219,175.517578125,,,,,,38.36678695678711
41.70681381225586,145.2617645263672,79.03697967529297,65.24299621582031,175.6393280029297,210.2899932861328,258.6098937988281,774.0720825195312,17.235511779785156,56.0880012512207,76.89739990234375,220.5546875,178.38999938964844,82.63663482666016,54.45293426513672,22.492685317993164,163.3746795654297,427.6764831542969,174.118408203125,99.67037963867188,35.355037689208984,22.67066764831543,40.86254119873047,115.8295669555664,38.27692794799805
42.395660400390625,147.33090209960938,79.40155029296875,64.75,187.70167541503906,214.16000366210938,258.09423828125,771.9993286132812,17.413578033447266,56.5989990234375,77.72689056396484,219.9647216796875,177.60000610351562,84.31088256835938,55.593406677246094,22.94001579284668,163.68540954589844,428.63323974609375,169.61000061035156,100.12965393066406,35.11099624633789,23.143999099731445,40.918331146240234,117.35933685302734,38.27692794799805
42.43352508544922,148.00221252441406,80.0577392578125,64.66600036621094,191.64080810546875,213.19000244140625,255.9456024169922,784.1229248046875,17.331968307495117,56.489498138427734,77.37525177001953,216.69725036621094,179.8000030517578,84.2734603881836,55.524139404296875,22.980682373046875,162.79771423339844,422.6055908203125,167.27806091308594,100.56189727783203,35.04014205932617,22.971332550048828,40.53468322753906,118.4465560913086,38.04331588745117
42.24415969848633,148.74708557128906,79.47444915771484,64.72899627685547,193.67636108398438,213.25,258.86773681640625,774.51416015625,17.205835342407227,56.8754997253418,77.07772064208984,218.6940460205078,181.2899932861328,84.17991638183594,56.92683410644531,23.5012149810791,164.92811584472656,425.8586120605469,168.21084594726562,101.93971252441406,35.11099624633789,23.334667205810547,40.42308807373047,118.05207824707031,38.708221435546875
