AAPL,AMZN,BRK-B,GOOG,LLY,META,MSFT,NVDA,TSLA,V
40.77651596069336,59.45050048828125,197.22000122070312,53.25,76.3474349975586,181.4199981689453,80.39183044433594,49.3171272277832,21.368667602539062,110.17233276367188
40.76942825317383,60.209999084472656,199.7899932861328,54.124000549316406,76.76216888427734,184.6699981689453,80.76598358154297,52.56287384033203,21.149999618530273,111.26912689208984
40.95880126953125,60.47949981689453,200.69000244140625,54.31999969482422,77.10477447509766,184.3300018310547,81.476806640625,52.83995056152344,20.974666595458984,111.68282318115234
41.42512893676758,61.457000732421875,201.4199981689453,55.11149978637695,78.05145263671875,186.85000610351562,82.48699188232422,53.2877197265625,21.10533332824707,114.3575439453125
41.271263122558594,62.34349822998047,202.74000549316406,55.34700012207031,77.65475463867188,188.27999877929688,82.5711669921875,54.920494079589844,22.42733383178711,114.81935119628906
41.26652145385742,62.6349983215332,203.02000427246094,55.3129997253418,77.59162902832031,187.8699951171875,82.5150375366211,54.90565490722656,22.246000289916992,114.59806823730469
41.257057189941406,62.71649932861328,205.61000061035156,55.13050079345703,77.62770080566406,187.83999633789062,82.14093017578125,55.33610916137695,22.31999969482422,114.47298431396484
41.49140167236328,63.83399963378906,206.69000244140625,55.2760009765625,77.8891830444336,187.77000427246094,82.38409423828125,55.4350700378418,22.530000686645508,115.3003921508789
41.91986846923828,65.26000213623047,210.16000366210938,56.112998962402344,78.4211196899414,179.3699951171875,83.8058090209961,55.162933349609375,22.4146671295166,115.54093170166016
41.70681381225586,65.24299621582031,210.2899932861328,56.0880012512207,76.89741516113281,178.38999938964844,82.63663482666016,54.45293045043945,22.67066764831543,115.82957458496094
42.39567184448242,64.75,214.16000366210938,56.5989990234375,77.72688293457031,177.60000610351562,84.31087493896484,55.59340286254883,23.143999099731445,117.35933685302734
42.433528900146484,64.66600036621094,213.19000244140625,56.489498138427734,77.3752670288086,179.8000030517578,84.27348327636719,55.524131774902344,22.971332550048828,118.44654083251953
42.24415969848633,64.72899627685547,213.25,56.8754997253418,77.07771301269531,181.2899932861328,84.1799545288086,56.92683410644531,23.334667205810547,118.05207061767578
41.89854431152344,66.3655014038086,215.97000122070312,57.79050064086914,77.03264617919922,185.3699951171875,85.68582153320312,57.812477111816406,23.437332153320312,119.62033081054688
41.90800857543945,68.12699890136719,215.55999755859375,58.49850082397461,76.1130142211914,189.35000610351562,85.95709228515625,59.1038703918457,23.519332885742188,119.9281997680664
41.24047088623047,67.87550354003906,215.61000061035156,58.21200180053711,76.00482940673828,186.5500030517578,85.88225555419922,58.3344841003418,23.05933380126953,119.83200073242188
40.504295349121094,68.89749908447266,215.10000610351562,58.51850128173828,76.64495849609375,187.47999572753906,86.35926055908203,58.47053527832031,22.50933265686035,120.47660827636719
40.598995208740234,70.10250091552734,217.19000244140625,58.79199981689453,78.51126861572266,190.0,87.97740173339844,60.197322845458984,22.856666564941406,121.53495025634766
39.758644104003906,70.88400268554688,215.4600067138672,58.77899932861328,78.9801025390625,185.97999572753906,87.84644317626953,61.0681266784668,23.302000045776367,120.11100006103516
39.5243034362793,71.89099884033203,214.41000366210938,58.18450164794922,77.61869049072266,187.1199951171875,86.7427749633789,60.04640197753906,23.05466651916504,118.86988830566406
39.63319396972656,72.54450225830078,214.3800048828125,58.49700164794922,73.4352798461914,186.88999938964844,88.86598205566406,60.80837631225586,23.62066650390625,119.52411651611328
39.71604537963867,69.5,217.25,58.3849983215332,74.3008041381836,193.08999633789062,88.16445922851562,59.49720764160156,23.28333282470703,120.95767211914062
37.99275588989258,71.49749755859375,209.1199951171875,55.595001220703125,73.19183349609375,190.27999877929688,85.8448486328125,57.77042007446289,22.916667938232422,116.32987213134766
37.04353332519531,69.5,196.8000030517578,52.790000915527344,69.86494445800781,181.25999450683594,82.30928039550781,52.867164611816406,22.208667755126953,111.86563873291016
38.59164810180664,72.14199829101562,201.24000549316406,54.029998779296875,70.31572723388672,185.30999755859375,85.4239501953125,55.806148529052734,22.264667510986328,115.42549896240234
37.76551818847656,70.83899688720703,200.3699951171875,52.42900085449219,69.17070007324219,180.17999267578125,83.81517028808594,56.602752685546875,23.0,115.11759948730469
36.72633361816406,67.5250015258789,191.4199981689453,50.07600021362305,66.90768432617188,171.5800018310547,79.51263427734375,53.81219482421875,21.01533317565918,109.54693603515625
37.1755485534668,66.9800033569336,196.02000427246094,51.888999938964844,68.72891235351562,176.11000061035156,82.47763061523438,57.414188385009766,20.69466781616211,111.91375732421875
38.67292785644531,69.3115005493164,198.88999938964844,52.59700012207031,68.74695587158203,176.41000366210938,83.36619567871094,56.412254333496094,21.048667907714844,113.98231506347656
39.06034851074219,70.72550201416016,197.99000549316406,52.60499954223633,68.71088409423828,173.14999389648438,84.02092742919922,57.55024719238281,21.577333450317383,113.86685180664062
39.780517578125,72.55249786376953,200.5399932861328,53.48500061035156,69.96707916259766,179.52000427246094,85.3365478515625,59.72480392456055,21.487333297729492,116.25291442871094
41.11628723144531,73.08799743652344,203.89999389648438,54.47600173950195,70.8663101196289,179.9600067138672,87.07505798339844,60.981544494628906,22.271333694458008,117.85282897949219
40.983184814453125,72.43450164794922,203.7899932861328,54.7400016784668,71.72919464111328,177.36000061035156,86.454833984375,60.323482513427734,22.365999221801758,117.43836212158203
40.84532928466797,73.4175033569336,203.0500030517578,55.12300109863281,70.43940734863281,176.00999450683594,87.13143157958984,61.61981964111328,22.31800079345703,117.59259033203125
