AAPL,ACN,AMZN,ASML,BRK-B,CDI.PA,GOOG,LLY,MC.PA,META,MSFT,NVDA,NVO,OR.PA,RMS.PA,SAP,SNY,TSLA,TTE,V
40.776527404785156,141.4729766845703,59.45050048828125,167.48779296875,197.22000122070312,257.66455078125,53.25,76.3474349975586,219.01168823242188,181.4199981689453,80.39183044433594,49.31713104248047,22.0250186920166,161.68812561035156,421.93585205078125,101.21028900146484,34.10332489013672,21.368667602539062,38.97216796875,110.17232513427734
40.76942825317383,142.12591552734375,60.209999084472656,168.760009765625,199.7899932861328,258.78179931640625,54.124000549316406,76.76216888427734,220.32777404785156,184.6699981689453,80.76598358154297,52.56288146972656,22.236482620239258,162.30950927734375,423.8493957519531,102.03877258300781,34.00885772705078,21.149999618530273,39.36977767944336,111.26913452148438
40.95879364013672,143.8087921142578,60.47949981689453,170.33377075195312,200.69000244140625,261.36016845703125,54.31999969482422,77.10477447509766,222.91452026367188,184.3300018310547,81.476806640625,52.8399543762207,22.159215927124023,163.77415466308594,424.61480712890625,103.6056900024414,34.55992889404297,20.974666595458984,40.04639434814453,111.68284606933594
41.42512130737305,144.9950714111328,61.457000732421875,172.33160400390625,201.4199981689453,264.1103820800781,55.11149978637695,78.05144500732422,226.45433044433594,186.85000610351562,82.48699188232422,53.28773498535156,22.260883331298828,165.904541015625,428.15484619140625,104.75836944580078,35.16609573364258,21.10533332824707,40.29751205444336,114.35753631591797
41.27125930786133,146.15374755859375,62.34349822998047,173.2362823486328,202.74000549316406,260.50067138671875,55.34700012207031,77.65474700927734,222.82374572753906,188.27999877929688,82.5711669921875,54.920501708984375,22.240554809570312,165.77139282226562,428.5375061035156,103.38056182861328,35.110992431640625,22.42733383178711,40.30449295043945,114.81934356689453
41.26652908325195,146.6411895751953,62.6349983215332,172.3033447265625,203.02000427246094,261.2741394042969,55.3129997253418,77.59163665771484,223.3683624267578,187.8699951171875,82.5150375366211,54.90565490722656,22.30968475341797,167.1472930908203,429.4943542480469,102.8042221069336,34.90631103515625,22.246000289916992,40.24869155883789,114.59806823730469
41.257057189941406,146.126220703125,62.71649932861328,170.2960968017578,205.61000061035156,259.12554931640625,55.13050079345703,77.6277084350586,219.64707946777344,187.83999633789062,82.14093017578125,55.33612060546875,22.281219482421875,165.904541015625,430.2597961425781,101.64254760742188,34.41822052001953,22.31999969482422,40.137081146240234,114.47300720214844
41.49140930175781,146.31932067871094,63.83399963378906,168.26055908203125,206.69000244140625,256.2033996582031,55.2760009765625,77.88917541503906,216.9241485595703,187.77000427246094,82.38409423828125,55.43506622314453,22.350351333618164,163.90728759765625,426.3369445800781,98.73384094238281,34.646514892578125,22.530000686645508,40.37424850463867,115.30039978027344
41.91987228393555,147.23892211914062,65.26000213623047,170.44688415527344,210.16000366210938,256.4613037109375,56.112998962402344,78.42113494873047,219.783203125,179.3699951171875,83.8058090209961,55.162940979003906,22.38288116455078,163.37469482421875,426.6239929199219,99.17509460449219,35.2526969909668,22.4146671295166,41.38569259643555,115.54093170166016
,,,,,257.4066467285156,,,220.32777404785156,,,,,163.72976684570312,426.9110412597656,,,,,
41.70681381225586,145.26174926757812,65.24299621582031,175.63934326171875,210.2899932861328,258.60986328125,56.0880012512207,76.89739227294922,220.5546875,178.38999938964844,82.63663482666016,54.45293045043945,22.492685317993164,163.37469482421875,427.67645263671875,99.6703872680664,35.355037689208984,22.67066764831543,40.8625373840332,115.82955169677734
42.395660400390625,147.33087158203125,64.75,187.70169067382812,214.16000366210938,258.0942077636719,56.5989990234375,77.72686767578125,219.96473693847656,177.60000610351562,84.31087493896484,55.59340286254883,22.94001579284668,163.6853790283203,428.6332092285156,100.1296615600586,35.110992431640625,23.143999099731445,40.9183349609375,117.35932922363281
